Abril                                                Ariwaki killa
Mayo                                              Aymuray killa
Junio                                               Jawkaykuski killa
Julio                                                Chaqra qunaquy killa
Agosto                                            Chaqra yapuy killa
Septiembre                                      Tarpuy killa
Octubre                                            Pawkarwara killa
Noviembre                                      ayamarq´ay killa
Diciembre                                        Qhapaqinti Raymi killa

DIAS DE LA SEMANA
Domingo                                      Intichaw
Lunes                                            killachuw
Martes                                          antichaw
 Miércoles                                   Qullurchaw
Jueves                                          Illapachuw
Viernes                                        ch´askachaw
Sábado                                         K´uychichaw

SALUDOS   NAPAYKUNA
Hola ¿Cómo estas?                     Imaynalla
Buenos días                                 Allin p´unchaw
Buenas tardes                             Allin sukhaya
Buenas noches                           Allin ch´isi
Hasta mañana                            Q´ayakama
Hasta la próxima                       Askamaya
Hasta luego                                Tinkunakama
